Round,Gender,Surface,Name,Country,City,winner_ranking,loser_ranking,winner_h2h,loser_h2h,winner_total_losses,loser_total_losses,winner_surface_losses,loser_surface_losses,winner_total_wins,loser_total_wins,winner_surface_wins,loser_surface_wins,prediction
R16,Male,Grass,"Gerry Weber Open",NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R16,Male,Grass,Halle,NULL,Halle,137,5,1,0,451,132,4534,899,11272,2692,5176,1290,1
R32,Male,Clay,"BMW Open by FWU",Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
R32,Male,Clay,Munich,Germany,Munich,549,5,1,0,419,132,3130,572,13029,2692,4055,756,1
SF,Male,Hard,Montpellier,France,Montpellier,632,5,2,3,416,132,2405,521,9635,2692,1985,579,1
SF,Male,Hard,Montpellier,France,Montpellier,632,5,2,3,416,132,2405,521,9635,2692,1985,579,1
SF,Male,Hard,Montpellier,France,Montpellier,632,5,2,3,416,132,2405,521,9635,2692,1985,579,1
SF,Male,Hard,Montpellier,France,Montpellier,632,5,2,3,416,132,2405,521,9635,2692,1985,579,1
SF,Male,Hard,Montpellier,France,Montpellier,632,5,2,3,416,132,2405,521,9635,2692,1985,579,1
SF,Male,Hard,Montpellier,France,Montpellier,632,5,2,3,416,132,2405,521,9635,2692,1985,579,1
SF,Male,Hard,"Open Sud de France",France,Montpellier,632,5,2,3,416,132,2405,521,9635,2692,1985,579,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,"German Tennis Championships 2017",Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
SF,Male,Clay,Hamburg,Germany,Hamburg,149,5,2,3,445,132,3144,572,25099,2692,8332,756,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,Beijing,China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
QF,Male,Hard,"China Open",China,Beijing,149,5,2,3,445,132,2603,521,25099,2692,6019,579,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,B†stad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Bastad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Båstad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Båstad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Båstad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,Båstad,NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
SF,Male,Clay,"SkiStar Swedish Open",NULL,Bastad,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"ATP Masters Series Hamburg",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,"German Tennis Championships 2017",Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
R32,Male,Clay,Hamburg,Germany,Hamburg,231,5,2,0,441,132,3595,572,19449,2692,7758,756,1
